 ,Area,Mean,Perim.,Circ.,IntDen,RawIntDen,AR,Round,Solidity
685,935,255,523.779,0.043,238425,238425,1.778,0.562,0.513
686,19,255,37.698,0.168,4845,4845,2.118,0.472,0.442
687,193,255,184.149,0.072,49215,49215,1.558,0.642,0.429
688,41,255,35.698,0.404,10455,10455,1.824,0.548,0.646
689,89,255,77.640,0.186,22695,22695,1.643,0.609,0.627
690,14,255,24.627,0.290,3570,3570,3.212,0.311,0.538
691,117,255,128.652,0.089,29835,29835,1.240,0.807,0.492
692,2393,255,1065.013,0.027,610215,610215,1.176,0.850,0.514
693,26,255,41.355,0.191,6630,6630,3.035,0.330,0.433
694,19,255,29.456,0.275,4845,4845,1.478,0.677,0.458
695,10,255,15.556,0.519,2550,2550,1.442,0.693,0.667
696,17,255,28.627,0.261,4335,4335,1.633,0.613,0.472
697,13,255,21.799,0.344,3315,3315,1.799,0.556,0.531
698,38,255,49.012,0.199,9690,9690,1.851,0.540,0.478
699,23,255,32.284,0.277,5865,5865,1.278,0.782,0.489
700,68,255,95.782,0.093,17340,17340,3.021,0.331,0.472
701,11,255,23.799,0.244,2805,2805,1.467,0.682,0.478
702,20,255,28.042,0.320,5100,5100,1.484,0.674,0.667
703,8780,255,638.004,0.271,2238900,2238900,1.219,0.820,0.927
704,15,255,30.042,0.209,3825,3825,1.221,0.819,0.455
705,25,255,30.870,0.330,6375,6375,2.821,0.354,0.595
706,20,255,28.385,0.312,5100,5100,1.216,0.822,0.625
707,66,255,80.225,0.129,16830,16830,1.291,0.774,0.460
708,35,255,47.355,0.196,8925,8925,1.363,0.734,0.449
709,29,255,54.426,0.123,7395,7395,2.160,0.463,0.479
710,15,255,20.142,0.465,3825,3825,1.379,0.725,0.682
711,55,255,79.640,0.109,14025,14025,1.168,0.856,0.401
712,14,255,20.142,0.434,3570,3570,1.621,0.617,0.667
713,140,255,129.137,0.105,35700,35700,1.556,0.643,0.497
714,665,255,608.933,0.023,169575,169575,1.688,0.593,0.392
715,20,255,25.799,0.378,5100,5100,1.213,0.824,0.678
716,42,255,39.941,0.331,10710,10710,1.258,0.795,0.604
717,34,255,54.426,0.144,8670,8670,3.521,0.284,0.447
718,98,255,136.309,0.066,24990,24990,1.061,0.943,0.420
719,123,255,103.196,0.145,31365,31365,2.317,0.432,0.552
720,21,255,32.284,0.253,5355,5355,2.475,0.404,0.538
721,12,255,22.971,0.286,3060,3060,1.772,0.564,0.511
722,33,255,47.598,0.183,8415,8415,2.314,0.432,0.458
723,29,255,49.598,0.148,7395,7395,1.445,0.692,0.509
724,112,255,129.137,0.084,28560,28560,1.182,0.846,0.453
725,23,255,43.598,0.152,5865,5865,2.173,0.460,0.400
726,20,255,36.284,0.191,5100,5100,1.985,0.504,0.444
727,10,255,23.799,0.222,2550,2550,3.408,0.293,0.377
728,15,255,29.456,0.217,3825,3825,1.683,0.594,0.476
729,38,255,48.426,0.204,9690,9690,1.615,0.619,0.539
730,14,255,29.799,0.198,3570,3570,2.671,0.374,0.459
731,22,255,32.527,0.261,5610,5610,1.383,0.723,0.524
732,10,255,19.556,0.329,2550,2550,2.872,0.348,0.526
733,10,255,16.728,0.449,2550,2550,2.741,0.365,0.645
734,12,255,23.213,0.280,3060,3060,1.455,0.687,0.480
735,19,255,34.042,0.206,4845,4845,1.595,0.627,0.442
736,16,255,35.113,0.163,4080,4080,1.306,0.766,0.400
737,21,255,44.770,0.132,5355,5355,1.136,0.880,0.385
738,148,255,133.581,0.104,37740,37740,1.676,0.597,0.509
739,49,255,56.083,0.196,12495,12495,1.184,0.845,0.503
740,12,255,22.971,0.286,3060,3060,2.745,0.364,0.545
741,149,255,143.966,0.090,37995,37995,2.007,0.498,0.410
742,31,255,36.527,0.292,7905,7905,2.010,0.497,0.579
743,10,255,22.385,0.251,2550,2550,2.513,0.398,0.435
744,54,255,61.598,0.179,13770,13770,1.238,0.808,0.527
745,13,255,18.971,0.454,3315,3315,1.946,0.514,0.634
746,30,255,53.012,0.134,7650,7650,3.727,0.268,0.405
747,340,255,155.865,0.176,86700,86700,1.397,0.716,0.687
748,20,255,26.385,0.361,5100,5100,2.285,0.438,0.606
749,12,255,23.213,0.280,3060,3060,2.433,0.411,0.571
750,27,255,32.284,0.326,6885,6885,1.997,0.501,0.587
751,26,255,43.941,0.169,6630,6630,1.818,0.550,0.437
752,67,255,78.468,0.137,17085,17085,2.611,0.383,0.434
753,251,255,168.108,0.112,64005,64005,1.682,0.595,0.586
754,10,255,13.899,0.650,2550,2550,1.306,0.766,0.833
755,56,255,99.439,0.071,14280,14280,2.419,0.413,0.358
756,43,255,55.841,0.173,10965,10965,1.559,0.641,0.515
757,18,255,29.213,0.265,4590,4590,1.361,0.735,0.545
758,20,255,43.941,0.130,5100,5100,1.845,0.542,0.400
759,24,255,30.284,0.329,6120,6120,1.390,0.720,0.585
760,105,255,66.669,0.297,26775,26775,1.125,0.889,0.702
761,49,255,69.740,0.127,12495,12495,1.286,0.778,0.447
762,58,255,53.255,0.257,14790,14790,1.478,0.677,0.620
763,15,255,23.213,0.350,3825,3825,1.645,0.608,0.600
764,10,255,20.142,0.310,2550,2550,2.814,0.355,0.488
765,789,255,301.487,0.109,201195,201195,2.777,0.360,0.498
766,37,255,54.184,0.158,9435,9435,1.636,0.611,0.521
767,10,255,19.799,0.321,2550,2550,1.496,0.668,0.500
768,29,255,27.799,0.472,7395,7395,1.682,0.595,0.763
769,11,255,20.142,0.341,2805,2805,3.108,0.322,0.537
770,10,255,20.385,0.302,2550,2550,1.603,0.624,0.455
771,37,255,35.698,0.365,9435,9435,1.627,0.615,0.673
772,158,255,138.652,0.103,40290,40290,1.523,0.657,0.453
773,1069,255,630.247,0.034,272595,272595,1.817,0.550,0.521
774,27,255,26.042,0.500,6885,6885,1.622,0.616,0.667
775,1420,255,869.065,0.024,362100,362100,2.463,0.406,0.465
776,125,255,111.338,0.127,31875,31875,4.137,0.242,0.488
777,45,255,50.184,0.225,11475,11475,1.153,0.867,0.545
778,36,255,40.527,0.275,9180,9180,1.240,0.807,0.585
779,21,255,28.627,0.322,5355,5355,1.435,0.697,0.506
780,308,255,240.090,0.067,78540,78540,1.900,0.526,0.490
781,14354,255,1111.499,0.146,3660270,3660270,1.705,0.586,0.916
782,35,255,59.497,0.124,8925,8925,2.826,0.354,0.354
783,2552,255,940.764,0.036,650760,650760,1.058,0.945,0.641
784,11,255,16.728,0.494,2805,2805,3.834,0.261,0.667
785,18,255,38.527,0.152,4590,4590,1.221,0.819,0.456
786,18,255,20.971,0.514,4590,4590,1.061,0.943,0.679
787,28,255,36.284,0.267,7140,7140,2.066,0.484,0.583
788,10,255,18.142,0.382,2550,2550,1.694,0.590,0.556
789,38,255,45.598,0.230,9690,9690,3.940,0.254,0.539
790,261,255,221.605,0.067,66555,66555,1.890,0.529,0.520
791,27,255,36.284,0.258,6885,6885,3.714,0.269,0.574
792,14,255,17.556,0.571,3570,3570,1.290,0.775,0.667
793,15,255,27.213,0.255,3825,3825,2.203,0.454,0.577
794,14,255,26.627,0.248,3570,3570,2.367,0.422,0.538
795,36,255,36.284,0.344,9180,9180,2.293,0.436,0.590
796,34,255,42.770,0.234,8670,8670,2.261,0.442,0.479
797,22,255,41.355,0.162,5610,5610,2.946,0.339,0.473
798,18,255,25.799,0.340,4590,4590,1.275,0.784,0.554
799,14,255,24.627,0.290,3570,3570,1.966,0.509,0.560
800,5178,255,1082.428,0.056,1320390,1320390,1.485,0.673,0.697
801,10,255,20.142,0.310,2550,2550,3.030,0.330,0.571
802,11,255,20.971,0.314,2805,2805,1.565,0.639,0.537
