 ,Area,Mean,Perim.,IntDen,RawIntDen
512,17,255,22.385,4335,4335
513,29,255,31.213,7395,7395
514,56,255,42.527,14280,14280
515,22,255,28.870,5610,5610
516,19,255,22.971,4845,4845
517,115,255,96.953,29325,29325
518,19,255,21.213,4845,4845
519,23,255,40.527,5865,5865
520,56,255,31.799,14280,14280
521,38,255,61.154,9690,9690
522,22,255,28.627,5610,5610
523,15,255,22.142,3825,3825
524,37,255,47.598,9435,9435
525,44574,255,9063.619,11366370,11366370
526,25,255,44.770,6375,6375
527,17,255,21.556,4335,4335
528,18,255,25.213,4590,4590
529,611,255,410.784,155805,155805
530,20,255,27.213,5100,5100
531,17,255,19.799,4335,4335
532,22,255,22.971,5610,5610
533,18,255,19.556,4590,4590
534,85,255,58.326,21675,21675
535,20,255,30.870,5100,5100
536,18,255,28.042,4590,4590
537,9346,255,2825.528,2383230,2383230
538,104,255,83.296,26520,26520
539,19,255,30.042,4845,4845
540,20,255,22.385,5100,5100
541,54,255,27.556,13770,13770
542,4915,255,1083.256,1253325,1253325
543,16,255,29.456,4080,4080
544,23,255,24.627,5865,5865
545,28,255,24.971,7140,7140
546,303,255,238.333,77265,77265
547,38,255,60.912,9690,9690
548,47,255,62.326,11985,11985
549,133,255,157.380,33915,33915
550,58,255,41.941,14790,14790
551,141,255,96.953,35955,35955
